"Domain","CustomDomains","EndpointName","RouteName","Pattern","OriginGroup","AppServiceURLs"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","sdm-downloadwink-com, newwebsite-downloadwink-com, www-downloadwink-com, downloadwink-com, orderoptical-essilorsource-ca, azurefd-downloadwink-com, twilio-downloadwink-com, ecomm-downloadwink-com, ecomm-touch-downloadwink-com, oms-downloadwink-com, specsavers-downloadwink-com, eradvantage-azure-downloadwink-com, eradvantage-downloadwink-com, attachment-downloadwink-com, ecomm-for-oms-downloadwink-com, tokai-orderoptical-com, testing-downloadwink-com, testing-orderoptical-com, webstart-azure-downloadwink-com, nikon-integrated-wink-nikonlenswear-com, oms-azure-downloadwink-com, visionstyle-orderoptical-com, akal-orderoptical-com, antoinelaoun-orderoptical-com, aos-orderoptical-com, calvin-orderoptical-com, centennial-orderoptical-com, csressilor-orderoptical-com, csrriverside-orderoptical-com, demoehr-orderoptical-com, essilor-orderoptical-com, essilorlabtolab-orderoptical-com, fyidoctors-orderoptical-com, independentlabs-orderoptical-com, kering-orderoptical-com, optoreseau-orderoptical-com, plasticplus-orderoptical-com, quantum-orderoptical-com, riverside-orderoptical-com, rxclub-orderoptical-com, sdl-orderoptical-com, shamir-orderoptical-com, testing-rxclub-orderoptical-com, topologynikon-orderoptical-com, visionalliance-orderoptical-com, visionrxlab-test-orderoptical-com, visionrxlab-orderoptical-com, visualeyes-orderoptical-com, westgroupe-orderoptical-com, zeiss-orderoptical-com, www-orderoptical-com, test-iris-downloadwink-com, download-wink-azurefd-net, loblaw-azure-downloadwink-com, server6-downloadwink-com, attachement-downloadwink-com-b8a2, nikon-integrated-wink-uat-downloadwink-com-8752","download-wink","httptohttps","/*","WINKweb","wnkweb-winkweb.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, specsavers-downloadwink-com, download-wink-azurefd-net","download-wink","WINKweb","/Web/*","WINKweb","wnkweb-winkweb.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","EMRWebStaticRule","/*, /emrdev/*","EMRWebStatic","wnkwebstorage.z9.web.core.windows.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","EHR39","/EHR-3.9/*","WINKweb","wnkweb-winkweb.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","sdm-downloadwink-com","download-wink","SDMRedirectToWeb","/","winkwebfornikonnew","wink-prod-winkweb-fromaws-new-fnhnffddcdaxf2f3.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","sdm-downloadwink-com","download-wink","SDM-Loblaw","/Web, /Web/*","winkwebfornikonnew","wink-prod-winkweb-fromaws-new-fnhnffddcdaxf2f3.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, sdm-downloadwink-com, eradvantage-downloadwink-com, attachment-downloadwink-com, tokai-orderoptical-com, testing-downloadwink-com, testing-orderoptical-com, nikon-integrated-wink-nikonlenswear-com, orderoptical-essilorsource-ca, visionstyle-orderoptical-com, akal-orderoptical-com, antoinelaoun-orderoptical-com, aos-orderoptical-com, calvin-orderoptical-com, centennial-orderoptical-com, csressilor-orderoptical-com, csrriverside-orderoptical-com, demoehr-orderoptical-com, essilor-orderoptical-com, essilorlabtolab-orderoptical-com, fyidoctors-orderoptical-com, independentlabs-orderoptical-com, kering-orderoptical-com, optoreseau-orderoptical-com, plasticplus-orderoptical-com, quantum-orderoptical-com, riverside-orderoptical-com, rxclub-orderoptical-com, sdl-orderoptical-com, shamir-orderoptical-com, testing-rxclub-orderoptical-com, topologynikon-orderoptical-com, visionalliance-orderoptical-com, visionrxlab-test-orderoptical-com, visionrxlab-orderoptical-com, visualeyes-orderoptical-com, westgroupe-orderoptical-com, zeiss-orderoptical-com, www-orderoptical-com, download-wink-azurefd-net, orderoptical-com-2bb4, server6-downloadwink-com, attachement-downloadwink-com-b8a2","download-wink","WinkRestvWinkWeb","/WinkRESTvWinkWeb/*","WinkRestvWinkWeb","winkrestvwinkweb.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, sdm-downloadwink-com, download-wink-azurefd-net","download-wink","WinkOnlineBooking","/WinkOnlineBooking, /WinkOnlineBooking/*","WinkOnlineBooking","winkonlinebooking.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","www-downloadwink-com, downloadwink-com","download-wink","WinkWebsiteRoutingRule","/, /*, /fr/*","NewWinkWebsite","68.183.206.0"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","WinkRESTvEHR-410","/WinkRESTvEHR-410/*","EHR-410-rest","wink-ehr410-rest.azurewebsites.net"
